naics_code,safegraph_place_id,location_name,street_address,city,region,postal_code,country,phone,latitude,longitude
451211,sg:e0528f229cfe4d46842cf83d67fbdeca,5th Wheel Adult Novelties,9320 Michigan Ave,Detroit,MI,48210,US,13138468613,42.328536,-83.15465
311811,sg:1425f4d3afa042d59b6506a86af6594e,Milford Baking,408 N Main St,Milford,MI,48381,US,12486852200,42.590936,-83.600008
451211,sg:a17f04049dbf4793aac9380923e0f70b,Barnes and Noble,4325 24th Ave,Fort Gratiot,MI,48059,US,18103854849,43.034185,-82.458441
311811,sg:ddfa4764907e4dea8bfc2bb192bde76c,Bartz Bakery,1532 N Telegraph Rd,Dearborn,MI,48128,US,13135620986,42.321995,-83.271873
311811,sg:16129bd1636d414ab5c3fcf2848603d8,Sandra Kay's,120 W John Beers Rd,Stevensville,MI,49127,US,12694295254,42.014201,-86.456431
712110,sg:45cd0fb8cf7942088a62fd4196946cd7,Northwest Michigan Maritime Museum,100 Coast Guard St,Frankfort,MI,49635,US,,44.630961,-86.244572
712110,sg:f428ee015c7f43dc8841a1435e816365,Coopersville Farm Museum,375 Main St,Coopersville,MI,49404,US,,43.064492,-85.936791
311811,sg:78c13f8a11af4052b35df6417f142295,Great Harvest Bread Co.,120 Washington Ave,Grand Haven,MI,49417,US,16168476700,43.063992,-86.231821
311811,sg:930971fe25854f25a647f94983b0059b,On the Rise Bakery,8900 Gratiot Ave,Detroit,MI,48213,US,13139228510,42.387398,-83.008754
451211,sg:cde07f88360c4b4d9de2697d31781111,Cerqueira Melissa,471 Fairways Ln,Chelsea,MI,48118,US,,42.302377,-84.008425
311811,sg:60d707163ac34f35af7f3866c6969e2b,Jeni's Ugly Pies,1095 S Milford Rd,Highland,MI,48357,US,17345360329,42.629587,-83.61608
311811,sg:f78be58da4c24d0880a0a0c39f4612a9,D&D's Gluten Free,8445 48th Ave,Hudsonville,MI,49426,US,12699449092,42.922285,-85.90301
512131,sg:7fa878dd6ceb4c3c9f357a11aa97c69e,Birmingham Theatre,211 S Old Woodward Ave,Birmingham,MI,48009,US,12487236230,42.545922,-83.212554
311811,sg:db08265b3bdf4bfab4f7094184c1899f,Grosse Ile Bakery,7767 Macomb St,Grosse Ile,MI,48138,US,17346751255,42.129892,-83.1425
512131,sg:f5870b4ae1d649e8aca7924bad97a0f7,Phoenix Theatres,2121 N Monroe St Unit 700,Monroe,MI,48162,US,,41.948274,-83.388346
311811,sg:c16aff054a084976a3e906445d6057f2,Schnitzelstein Baking,1305 Fulton St E,Grand Rapids,MI,49503,US,16169882316,42.962959,-85.637514
311811,sg:d02f345446614747b045e2c4a9b60f41,La Petite Pastry Shoppe,39105 Garfield Rd,Clinton Township,MI,48038,US,15864161770,42.584852,-82.952521
311811,sg:f05d99cc252e4bb0b80f05042e9be14b,She Bakes Cupcakes,23541 Hill Ave,Warren,MI,48091,US,15869441237,42.466035,-83.052725
712110,sg:2f761fe208e24478b2ea24a4dd068209,Great Lakes Shipwreck Museum,18335 N Whitefish Point Rd,Paradise,MI,49768,US,19064923747,46.770595,-84.958182
311811,sg:1b45c0d30dec442b9b01d4885266268a,Marcella's Market Fresh Bakery,805 Chamberlain St,Flushing,MI,48433,US,18104879107,43.065565,-83.838964
311811,sg:8b7a5f291a9e4ba6ab8b414225fa8151,Luca Pastry,42927 Ford Rd,Canton,MI,48187,US,17349830050,42.321998,-83.463698
311811,sg:697eacd3c08d4600b9d73fa1f56a2cae,Hillshire Brands Company,2314 Sybrant Rd,Traverse City,MI,49684,US,12319472100,44.734439,-85.621193
311811,sg:24e4e019f7a84cf4ae449f541a4a4af0,King Arthur's Pasties,2259 E Hill Rd,Grand Blanc,MI,48439,US,18106956502,42.944821,-83.662579
712110,sg:b566bbbb2f0c47cda3d95f2260fbe309,Museum Of Contemporary Art Detroit,4001 W McNichols Rd,Detroit,MI,48221,US,,42.415541,-83.136767
712110,sg:02ecb3d9d2854216ba8817533ac2f122,Eastern Lakes Transport Museum,1805 Bowers Rd,Lapeer,MI,48446,US,,43.059987,-83.273808
311811,sg:21a619ab5ac041c0b196d68b6cd3c3a7,Victor Bakery,36 Victor St,Highland Park,MI,48203,US,13138695322,42.406594,-83.096022
512131,sg:2c39b275951d47a198186905a04028ef,Bonadeo Farm,1215 White Lake Rd,Highland,MI,48356,US,12487874553,42.682749,-83.603275
311811,sg:e9e08d31a22e40a09c81d3e627d02d54,Brown City Uptown Cafe,4229 Main St,Brown City,MI,48416,US,18103462803,43.211914,-82.988755
311811,sg:fba23ac948aa4ed39d4da6ee634ea88d,Good Time Donuts,214 E 8th St,Holland,MI,49423,US,16163939220,42.790118,-86.097709
451211,sg:11debe1d9c364befad070cbcc37996d2,State of Comics,577 Forest Ave,Plymouth,MI,48170,US,17343927905,42.368395,-83.470355
712110,sg:12bb6b9a1294475c8434f2554a0e59dc,American Museum Of History Palis Institute,12406 Windsor Beach Dr,Fenton,MI,48430,US,,42.845879,-83.712145
451211,sg:bfd83eb13d49405793b3e63841d67dfc,A B Publishing,3039 S Bagley Rd,Ithaca,MI,48847,US,19898754985,43.247737,-84.56306
311811,sg:36696908e66b4ff8aeadb285dd5733df,Top Tier Cakery,Valley View Dr,Traverse City,MI,49685,US,12314990133,44.67323,-85.652804
445291,sg:64350312ab4c4573bc1c67fd67434d39,Pretzelmaker,2121 N Monroe St,Monroe,MI,48162,US,17342435852,41.947861,-83.387943
311811,sg:8a60833a93de4285a17d285b021ca217,Sisters Cakery,15730 W Warren Ave,Detroit,MI,48228,US,13138464777,42.343878,-83.199293
311811,sg:c8e089cd789147f7a4f6fa44650fdf55,Astoria Pastry Shop,541 Monroe St,Detroit,MI,48226,US,13139639603,42.335422,-83.041951
712110,sg:8a68708f09f948919170beb2719cfb3e,Cappon House Museum,31 W 10th St,Holland,MI,49423,US,16163926740,42.788649,-86.108716
311811,sg:9444f16fac0b4890947b83a096994ebc,La Eatrella Del Norte,2406 N Michigan Ave,Saginaw,MI,48602,US,19897532694,43.439309,-83.949252
451211,sg:c65e66aaf7664e47b37450f761631783,Disc Replay,11508 Middlebelt Rd,Livonia,MI,48150,US,17347435383,42.368743,-83.331773
712110,sg:5ab8cb82f0fb42bf970c9016b7447337,Greenmead Historical Museum And Village,20501 Newburgh Rd,Livonia,MI,48152,US,12484777375,42.437533,-83.416476
451211,sg:1252a16c0fd64c2f99531cf7ea8a226d,Galaxy Comics,2616 State St,Saginaw,MI,48602,US,19897996334,43.43678,-83.974684
311811,sg:d69c18f32d3c42d193bdfdfd917f14fd,Greg's Bakery,48852 Romeo Plank Rd,Macomb,MI,48044,US,15862635121,42.656446,-82.935602
311811,sg:55ac93121a224e1bb032830ef4f4bada,Johan's Pastries,565 W Mitchell St,Petoskey,MI,49770,US,12313473815,45.371628,-84.969886
311811,sg:d3d1ab08780f4c62831dc1cb90f93290,Naba Brick Oven Bakery,15723 W Warren Ave,Detroit,MI,48228,US,13132285450,42.343386,-83.199177
451211,sg:dd03c9d2518641dabbb00a1451e9e22f,Comic City,466 N Telegraph Rd,Pontiac,MI,48341,US,12483344139,42.644141,-83.324832
451211,sg:e9811d967d324dcd8ffc75bfe95e6a6f,Cross Section Comics,501 N Walnut St,Lansing,MI,48933,US,15177037478,42.738714,-84.557229
311811,sg:f56186cb7a304a97b453e4f745dd706b,Legacy Cakes,5448 S Meridian Rd,Jackson,MI,49201,US,15177962134,42.181622,-84.368064
311811,sg:2300e2ef7ff34341a8c54d10ad1039cf,Aunt Millies,440 E Cork St,Kalamazoo,MI,49001,US,12693422765,42.259483,-85.574995
311811,sg:15a8dd46bba6477d83f2700443db0e3b,Whole Grain Country Bakery,2047 S Sasse Rd,Midland,MI,48640,US,19899487273,43.552985,-84.227365
451211,sg:aafa2f5be57745a58f5fea819f477b78,Think Street Media,311 N Main St,Davison,MI,48423,US,18106528800,43.032121,-83.517077
451211,sg:2126265086aa4c8695ab2ae9bfd78a0f,Go Calendars & Games,17370 Hall Rd Spc 188,Clinton Township,MI,48038,US,,42.625754,-82.946953
451211,sg:6e825c6db7b1428c8776da4f2db5bf2c,C MacNeill Book Dealer,3155 12 Mile Rd,Berkley,MI,48072,US,12485431177,42.502849,-83.190954
311811,sg:f56d896b894d45adae9b6c612a2f0dab,Cindy Lous Sweet Creations,125 E Superior St,Alma,MI,48801,US,,43.379114,-84.660521
445291,sg:52cc43c91d684c1fad048afb24e132cb,Mrs. Fields Gifts,257 Briarwood Cir # G-111,Ann Arbor,MI,48108,US,17349960644,42.240567,-83.74624
712110,sg:0e4189d8ea524961a1a6c5e377f50c0d,Bradley Home Museum,3200 Cook Rd,Midland,MI,48640,US,19896319050,43.627612,-84.265932
512131,sg:1ce343d94f5c4234888164fa9d2e9cb8,Meadow Brook Amphitheatre,3554 Walton Blvd,Rochester Hills,MI,48309,US,,42.680109,-83.201088
512131,sg:22f7caded2ab440195f5886176cf9473,City Theatre,2211 Woodward Ave,Detroit,MI,48201,US,,42.338536,-83.052389
512131,sg:820864c3a7ea4db6bea73e6b44cfecbe,Celebration! Cinema,4289 Grand Haven Rd,Norton Shores,MI,49441,US,,43.173866,-86.221559
712110,sg:c7e2e8540a2747e498d98893d0d6f9c5,Museum Of Art,525 S State St,Ann Arbor,MI,48109,US,,42.275379,-83.739721
712110,sg:08dfc0c4e2c24391841872def7ba395b,Montague Museum And Historical Association,8778 Ferry St,Montague,MI,49437,US,,43.418049,-86.354888
311811,sg:67221bf313414105bcc92570b699fa52,Ramirez Bakery,130 E Lakewood Blvd,Holland,MI,49424,US,16163924927,42.805741,-86.102497
311811,sg:e8c52dcafc4e488fbb272e1dc95d27c8,Iversen's Bakery,22041 Outer Dr,Dearborn,MI,48124,US,13135635161,42.285413,-83.233097
311811,sg:3ea66f107e574710b997eda4cce04bbe,Vienna Pastry Shop & Bakery,205 Columbus Ave,Bay City,MI,48708,US,19898910203,43.589586,-83.889513
311811,sg:8d62c0d2f98747e593a1ca7214087a13,Chelsea Bakery,117 S Main St,Chelsea,MI,48118,US,,42.317571,-84.020323
451211,sg:657cf49b7a5e4611a0dc5d46464074a5,Horizon Books,243 E Front St,Traverse City,MI,49684,US,12319467290,44.764327,-85.619036
451211,sg:9886b23f91544ebd83d1bdf1a03804ca,Nandis Knowledge Cafe,71 Oakman Blvd,Highland Park,MI,48203,US,13138651288,42.403488,-83.109985
451211,sg:1e83d89189e24ddd91e01b8e2513cd70,Andrews University Bookstore,4245 Administration Dr,Berrien Springs,MI,49103,US,12694713287,41.963861,-86.356002
512131,sg:e4c7df92a1c2438a9b0da0f157410f94,Emagine Entertainment,200 Barclay Cir,Rochester Hills,MI,48307,US,12482433456,42.641658,-83.12742
712110,sg:e6bf67aa42f946219069867c2c157d2c,Michigan Whitetail Hall Of Fame Museum,4220 Willis Rd,Grass Lake,MI,49240,US,15179370533,42.293146,-84.229693
311811,sg:d89073f5c6d94efebb3e050178ad3d2e,Divine Dessert By Rena,25930 Ford Rd,Dearborn Heights,MI,48127,US,13132783322,42.326817,-83.293646
311811,sg:424e5c27beac461280bc1e8df532d6b4,Astoria Pastry Shop,320 S Main St,Royal Oak,MI,48067,US,12485829220,42.487452,-83.144431
311811,sg:8c8d7ba8987e4d748a12626805efe4d4,Edgewood Bakery,1617 Edgewood Ave SE,Grand Rapids,MI,49506,US,16168022886,42.933743,-85.595749
451211,sg:8f78e3c8e15641248c8ce016c5e0dbd8,Lighthouse Direct Buy Showroom,16143 Wyoming St,Detroit,MI,48221,US,13133401850,42.410392,-83.160268
451211,sg:fcdf758d167f4b37a71d52869d351d51,M3 Group,221 W Saginaw St,Lansing,MI,48933,US,15172033333,42.740667,-84.555072
512131,sg:16b8257480ab43a7a1416b8793e3904c,George E Potter Center,2111 Emmons Rd Jackson College,Jackson,MI,49201,US,,42.163989,-84.406208
512131,sg:ed3a98e99ee74c5180b81031cad4869e,Penthouse Club,20771 W 8 Mile Rd,Detroit,MI,48219,US,13135417000,42.443208,-83.246505
311811,sg:3a09c72b5f78418ca6bcc8169b675382,Sweetheart Bakery,31920 Van Dyke Ave,Warren,MI,48093,US,,42.528605,-83.028416
311811,sg:7e199527fc6f4251a8d6f0a2903fb0ea,Tai Pan Bakery,31666 John R Rd,Madison Heights,MI,48071,US,12485833088,42.526442,-83.105603
712110,sg:ff27e0830a2742f89089b2c5e9d4b408,Voigt House Victorian Museum,115 College Ave SE,Grand Rapids,MI,49503,US,16164564600,42.960631,-85.657251
311811,sg:f3962ff9dedf4ac29e1baea462335711,Port Huron Pastry Shop,3115 Lapeer Rd,Port Huron,MI,48060,US,18109844989,42.978257,-82.461927
311811,sg:156a7c0b6c50468e9f994fd9ca77552f,R W Bakers,1129 E Mount Garfield Rd,Norton Shores,MI,49441,US,12317999360,43.14648,-86.217059
512131,sg:5aac5e268fbd4f04bc03f8516f6cf360,Eup Fine Arts Council,245 Erie St,De Tour Village,MI,49725,US,19062972787,45.994402,-83.902884
311811,sg:862dcff8820043dd8190baf3184f9e05,Morning Fresh Bakeries,3223 N Adrian Hwy,Adrian,MI,49221,US,,41.931775,-84.004842
311811,sg:0af30b51f3a84bc8bc9e27b34e8a3a42,Harper Bakery,25600 Harper Ave,Saint Clair Shores,MI,48081,US,15867754330,42.483271,-82.89997
712110,sg:db939656f90c4241b31396a9c99242f9,Movie Museum,426 E Mason St,Owosso,MI,48867,US,19897257621,42.999225,-84.165625
451211,sg:99fcd690022840e1ab84c8984a4b22c1,Blue Turtle Books,1111 Godfrey Ave SW Ste 9A,Grand Rapids,MI,49503,US,16165141840,42.942074,-85.68551
311811,sg:0e409f875f6e4a39bec27f601417ec79,Tecumseh Bread and Pastry,115 S Evans St,Tecumseh,MI,49286,US,15173014664,42.003227,-83.945508
512131,sg:33d3d38700184c978dfe854e07ec8f78,Cinemark Theatres,23000 Eureka Rd,Taylor,MI,48180,US,17342870629,42.200696,-83.257046
311811,sg:41489b7e1e814ad2ad8a081fb663bfad,Calumet Mercantile & General Store,107 5th St,Calumet,MI,49913,US,19063370903,47.244531,-88.452814
311811,sg:55ed603604d442c9a20e33118533062b,A Al Nour Bakery,13738 W Warren Ave,Dearborn,MI,48126,US,13139455598,42.344178,-83.178882
451211,sg:470eb158947648e4a39102db6f0d1c4d,Fuchs Gustave A Company Religious Supplies,32525 Stephenson Hwy,Madison Heights,MI,48071,US,12485890200,42.531266,-83.120924
451211,sg:bc28b4c3637e4c22bbf3a4e83472bbb7,The Collectors Resource,2418 28th St SW,Wyoming,MI,49519,US,16166085117,42.913668,-85.725586
311811,sg:ec1b47be9e1e4ae38852d9d15a75946e,The Daily BakeHouse,76 Division St,Manistee,MI,49660,US,12312991401,44.247084,-86.319654
451211,sg:44494551a3fe48c8b100060f9e0e84bb,Barnes and Noble,200 N Adams Rd,Rochester Hills,MI,48309,US,12488412751,42.682892,-83.192909
451211,sg:c2319681ecc045f6ac39510cca6185f4,Between the Covers,106 E Main St,Harbor Springs,MI,49740,US,12315266658,45.429519,-84.988704
512131,sg:7cae36c791b24a9695e3a8c832be28c0,The Dinner Detective,11 Monroe Ave NW,Grand Rapids,MI,49503,US,,42.964114,-85.673343
451211,sg:0a60bcf35dea4a37b599b243f0a37a48,Dukes Outpost,5042 E Berry Rd,Pleasant Lake,MI,49272,US,15177696899,42.380441,-84.325473
512131,sg:b781c97b7e3d4e0e8d8fe9521fcff6ea,AMC Entertainment,213 S Michigan Ave,Big Rapids,MI,49307,US,,43.696472,-85.481504
311811,sg:03667f7fab3545f98b731ad4819ce2bf,Just Baked,33309 7 Mile Rd,Livonia,MI,48152,US,12489579161,42.426367,-83.37409
712110,sg:15f4b3d234c94a96833d176cb3bb9f4f,World Heritage Air Museum,19992 Kelly Rd,Harper Woods,MI,48225,US,,42.443831,-82.945414
451211,sg:8aae6e4a99484f6c987e75ca55f1969b,Discount Bible Book & Music Store,26756 Dequindre Rd,Warren,MI,48091,US,15865190728,42.489751,-83.083547
451211,sg:fb1a060d557d4885b1187b751182da11,Hero Time Comics,14432 Northline Rd,Southgate,MI,48195,US,17342588825,42.21392,-83.199523
451211,sg:a3bcc3595db54726aa57fb3fd6c57503,Avid Marketing Alliance,1167 Madison Ave SE,Grand Rapids,MI,49507,US,16165815876,42.941488,-85.659386
712110,sg:0760132bf93d4f91ba24487ed21eecfb,Menominee County Historical Museum,904 11th Ave,Menominee,MI,49858,US,19068639000,45.108991,-87.613862
512131,sg:4b46d7999e9b45e7b35bbf8d2b1cd8ec,Wharton Center,750 E Shaw Ln Michigan State University,East Lansing,MI,48824,US,15173531982,42.724054,-84.470603
311811,sg:c02c3bc9fbf849d399e26a8873c2660e,Conley's Homestyle Bakery,10985 90th Ave,Mecosta,MI,49332,US,12319722001,43.626288,-85.266151
451211,sg:412c11bd64c94aaaad1ef0d9742c4b89,Rebeats,219 Prospect Ave,Alma,MI,48801,US,19894634757,43.376959,-84.663768
451211,sg:83af3b394d3043bfa60d83835f269be6,Trenton Trib,2836 W Jefferson Ave Ste 115,Trenton,MI,48183,US,17346760850,42.139964,-83.178532
451211,sg:b75d79caf73a4064a91bc7cf13e45ce7,Kirby Company of Millington,8378 State Rd,Millington,MI,48746,US,19898713545,43.284695,-83.530291
512131,sg:e3999fbd2aa24a62ba17a234e3c075fa,Velvet Touch,1819 W Main St,Kalamazoo,MI,49006,US,12693421610,42.294045,-85.61165
512131,sg:a1911f14e873496aa106d31091f63795,MJR Digital Cinemas,7501 Highland Rd,Waterford,MI,48327,US,,42.660429,-83.434159
451211,sg:3820b98d8f914cb9a7b11823a9689615,Bam,2612 Crossing Cir,Traverse City,MI,49684,US,,44.726628,-85.632798
451211,sg:decc31ee223c46d79fbd1ab0fc2002d3,Barnes and Noble,4370 Miller Rd Unit E-10,Flint,MI,48507,US,18107320704,42.979926,-83.767561
712110,sg:ebcaba9541a144f29be54e7e6369acd3,Gospel Music Hall Of Fame & Museum,18301 W McNichols Rd,Detroit,MI,48219,US,13135920017,42.415268,-83.221678
451211,sg:b1ae43bb976f443489ef028dd585f061,Mehring Books,25900 Greenfield Rd Ste 258,Oak Park,MI,48237,US,12489672924,42.480309,-83.200916
512131,sg:fd4ec1c3cfde4f7eb619569b609c756d,Hard Body's Gentlemans Club,7443 Michigan Ave,Detroit,MI,48210,US,13137247353,42.330865,-83.135464
311811,sg:694e5f55a2034cddaaf609a3f41ff1b4,Baker's Nook,901 W Michigan Ave,Saline,MI,48176,US,,42.16042,-83.79522
311811,sg:fcc90499c0da43038ff3bfe0b76eef4d,Smallcakes,13070 Old U.S. 27,Dewitt,MI,48820,US,,42.82648,-84.543592
712110,sg:4d321d077c3046d585654979021cf083,Michigan Magazine Museum,3309 N Abbe Rd,Comins,MI,48619,US,,44.765503,-84.051182
451211,sg:dc2fceb1f74e402c957e604b676fbe2d,Saturn Booksellers,127 W Main St Ste A,Gaylord,MI,49735,US,19897328899,45.027127,-84.674765
451211,sg:927117e9e97a48e6b3ab4634f273e11c,Creative Covers & Trim,17240 US Highway 223,Addison,MI,49220,US,15175474628,42.02776,-84.329085
311811,sg:073791b5b7944f5f968299edb6c0fed0,Perfection Bakeries,45789 Port St,Plymouth,MI,48170,US,17343549520,42.386785,-83.495017
712110,sg:1413a92976da4a52bd022812b416f980,Darden Murphy African American Cowboy Historical Museum,628 Lulu St�,Kalamazoo,MI,49048,US,12693820245,42.306077,-85.592343
512131,sg:a64c29284c4e49cfb302beb4269cf95b,The Machine Shop,3539 S Dort Hwy,Flint,MI,48507,US,18107152650,42.991469,-83.652913
512131,sg:373be476ba7f46a8a45e5381edf99452,Diamond Girls Show Bar,1714 S Saginaw St,Flint,MI,48503,US,18102283676,43.005035,-83.68095
512131,sg:6964cb5f7dcc4eb7b1fb274bb7af884e,Acorn Theater,107 Generation Dr,Three Oaks,MI,49128,US,12697563879,41.802456,-86.61167
712110,sg:af7b087096b642df9415f23485b1238b,Gerald R Ford Presidential Museum,303 Pearl St NW,Grand Rapids,MI,49504,US,16162540400,42.968511,-85.677412
311811,sg:09c11cbf029a4db48bcd2a1a134b4483,National Bakery,736 E State Fair,Highland Park,MI,48203,US,13138917803,42.43948,-83.096364
712110,sg:3153c80ddd854babb02227e33332c04d,K I Sawyer Heritage Air Museum,500 S 3rd St,Marquette,MI,49855,US,19063623531,46.53988,-87.396763
311811,sg:0b470f68817f4035963a4584c386b826,Chilango's Bakery,5427 W Vernor Hwy,Detroit,MI,48209,US,13135540133,42.317891,-83.10108
512131,sg:3b3867a9137647d483e9ce11db2ebdaa,The State Theatre,233 S State St,Ann Arbor,MI,48104,US,,42.279537,-83.740436
512131,sg:9b2318a63c3240d3a146d1502f36d781,AMC Entertainment,4300 Baldwin Rd,Auburn Hills,MI,48326,US,12484540314,42.702708,-83.295207
451211,sg:ffa6ef77d9de4b639afe8e3419aa9fdd,Summit Comics and Games,216 S Washington Sq Ste B,Lansing,MI,48933,US,15174852369,42.731806,-84.552521
311811,sg:28f1fe14d1da4858af936257e3cdf3b0,Hilltop Bakery,1544 Newaygo Rd,Bailey,MI,49303,US,12318345485,43.280929,-85.809837
512131,sg:d934ae8d7ccf401b9793996ae0e6aca6,Magic Bag Theatre,22920 Woodward Ave,Ferndale,MI,48220,US,12485441991,42.461847,-83.134796
712110,sg:36a3e4dae2db4222a9576edcf5ec08a6,A E Seaman Mineralogical Museum,1404 E Sharon Ave,Houghton,MI,49931,US,19064872572,47.110805,-88.552335
311811,sg:0c41a34ea8ef46688669302edf76684a,Goober's Bakery of Norton Shores,4165 Grand Haven Rd,Norton Shores,MI,49441,US,12317981213,43.176895,-86.220762
712110,sg:9b77d464ad7f4922b1e5eeb54baa5bdd,Cadillac Lasalle Club Museum And Research,35105 W 13 Mile Rd,Farmington Hills,MI,48331,US,,42.512434,-83.39294
311811,sg:899f9ddb3f564191893c6dbca816df47,Renzema's Bakery,214 Link Ln,Parchment,MI,49004,US,12693492086,42.319611,-85.572292
512131,sg:9f3d898ed61f4dffa75372f5d897093f,Lady Sarah's Magic Soiree,5725 Rochester Rd,Troy,MI,48085,US,15865565579,42.602768,-83.130158
512131,sg:c258aa69b36f4cf8a78207ce5610dc1a,Phoenix Theatres,17310 N Laurel Park Dr,Livonia,MI,48152,US,17344572398,42.414274,-83.417383
451211,sg:754bdf265d144d33a0273ae0ab3b674e,Cook Christian Supplies,219 Prospect Ave,Alma,MI,48801,US,19897731935,43.37698,-84.663742
311811,sg:5658a4866d644607ab44db411aae3b48,Mary's Creative Cakery,7075 Gratiot Rd Ste 4,Saginaw,MI,48609,US,19897817747,43.415099,-84.053335
512131,sg:f079f0fad56246acb5ada4672c3c956d,John E N Howard Bandshell,550 Port St,Saint Joseph,MI,49085,US,,42.111454,-86.481535
311811,sg:1442a25233d04f05ab33e6f88ffcfe8e,Bert's Bakery,4419 S Westnedge Ave,Kalamazoo,MI,49008,US,12693492091,42.246182,-85.588442
712110,sg:5a1cf12a78ea43868309d8fa39967c10,East Jordan Portside Art & Historical Museum Society,1656 S M 66,East Jordan,MI,49727,US,12315362250,45.178292,-85.163226
451211,sg:cc807a91eceb4b1b9e6b879b54dcfbd5,The Book Worm,4482 W Houghton Lake Dr,Houghton Lake,MI,48629,US,19893668891,44.298619,-84.728937
311811,sg:4d37fefe3b034b80aa997ce220c4a9f2,Bon Bon Bon,719 Griswold St Ste 100,Detroit,MI,48226,US,13133161430,42.330592,-83.048109
451211,sg:757eec991f9444d79ff6a8bb6760b45f,Bookbound,1729 Plymouth Rd,Ann Arbor,MI,48105,US,17343694345,42.298811,-83.721431
451211,sg:55f94050e06e414bbc69e109f95bd0a0,Kiltie Korner,614 W Superior St,Alma,MI,48801,US,19894632484,43.380748,-84.672404
512131,sg:0be392dc9f714545b43a851ea1f9db17,Taproot Pictures,415 Norwood Ave SE,Grand Rapids,MI,49506,US,16168050449,42.955092,-85.631952
311811,sg:8b60e87b90aa4457a8a2d22662daa81a,Butter Crust Bakery,6181 Dixie Hwy,Bridgeport,MI,48722,US,19897773680,43.358341,-83.880085
311811,sg:d62c44aeec37481bb2e4760fcbd2a47f,Perfection Bakeries,10340 Highland Rd,White Lake,MI,48386,US,12486984063,42.6514,-83.490944
512131,sg:b24ef8395eb04063b3709bf96ee8bda2,Vickers Theatre,6 N Elm St,Three Oaks,MI,49128,US,12697563522,41.80128,-86.610193
311811,sg:8858c50751884772bdd383bda3757ac4,For the Love of Sugar,100 Erskine St,Detroit,MI,48201,US,13137887111,42.346171,-83.055149
451211,sg:f1fa6179a8a749fca8743793dd610149,A F T Bookstore Relig,4735 W Fort St,Detroit,MI,48209,US,13138434333,42.310509,-83.09313
311811,sg:2e41aca3b15041e89601769ab3fe489f,Boonzaaijer Bakery,126 E Cork St,Kalamazoo,MI,49001,US,12693433001,42.259236,-85.578732
712110,sg:7b992cfc2b5d47879009aaf196720090,Garden City Historical Museum,6221 Merriman Rd,Garden City,MI,48135,US,17348380650,42.330841,-83.350959
451211,sg:c688faef5cfa418ea061e22af6f20806,John K King Books,901 W Lafayette Blvd,Detroit,MI,48226,US,13139610622,42.327537,-83.057059
311811,sg:359cee32d8324cadaf55859ce6905758,Backroad Bakery,56 Mayer Rd,Columbus,MI,48063,US,18103673409,42.900751,-82.619946
512131,sg:ddd791132e9e43aaa949c8cca5f4beb6,Theatre and Dance at Wayne,4743 Cass Ave,Detroit,MI,48201,US,13135772972,42.354364,-83.066233
