"safegraph_place_id","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","category_tags"
sg:02329976d1144d1fa9d67871fc6f4caa,,Energy Within,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.906559,-83.602777,8469 S Saginaw St,Grand Blanc,MI,48439,US,,"{ ""Mon"": [[""10:00"", ""15:00""]], ""Tue"": [[""10:00"", ""15:00""]], ""Wed"": [[""10:00"", ""15:00""]], ""Thu"": [[""10:00"", ""15:00""]], ""Fri"": [[""10:00"", ""15:00""]], ""Sat"": [], ""Sun"": [] }",
sg:cc24b082af044dc6ac943b8c59767eef,,Zehnder's Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.327116,-83.741075,730 S Main St,Frankenmuth,MI,48734,US,+19896520467,,
sg:de632a034ff4444fa91a98399bc623ee,,Three Heart Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,45.466552,-83.888849,5576 US Highway 23 N,Rogers City,MI,49779,US,+19897340295,"{ ""Mon"": [], ""Tue"": [], ""Wed"": [[""8:00"", ""15:00""]], ""Thu"": [], ""Fri"": [], ""Sat"": [[""8:00"", ""15:00""]], ""Sun"": [] }",
sg:e5029a11455e48aea807a54b1c404969,,1515 Broadway Cafe,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.336255,-83.048637,1515 Broadway St,Detroit,MI,48226,US,,"{ ""Mon"": [[""10:00"", ""17:30""]], ""Tue"": [[""10:00"", ""17:30""]], ""Wed"": [[""10:00"", ""17:30""]], ""Thu"": [[""10:00"", ""17:30""]], ""Fri"": [[""10:00"", ""17:30""]], ""Sat"": [], ""Sun"": [] }",
sg:08175f9fe7724b9a960f06ec6bcb64ab,,Literati Bookstore,,,Book Stores and News Dealers,Book Stores,451211,42.280298,-83.747495,124 E Washington St,Ann Arbor,MI,48104,US,+17345855567,"{ ""Mon"": [[""10:00"", ""21:00""]], ""Tue"": [[""10:00"", ""21:00""]], ""Wed"": [[""10:00"", ""21:00""]], ""Thu"": [[""10:00"", ""21:00""]], ""Fri"": [[""10:00"", ""22:00""]], ""Sat"": [[""10:00"", ""22:00""]], ""Sun"": [[""10:00"", ""19:00""]] }",
sg:697eacd3c08d4600b9d73fa1f56a2cae,,Hillshire Brands Company,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,44.734439,-85.621193,2314 Sybrant Rd,Traverse City,MI,49684,US,+12319472100,,
sg:60ec6e6c917344f3b8c212befb3dd39e,,Barnes and Noble,SG_BRAND_0031e43e4f12b969239801d340f7c141,Barnes and Noble,Book Stores and News Dealers,Book Stores,451211,42.411769,-83.435194,17111 Haggerty Rd,Northville,MI,48168,US,+12483480696,"{ ""Mon"": [[""9:00"", ""22:00""]], ""Tue"": [[""9:00"", ""22:00""]], ""Wed"": [[""9:00"", ""22:00""]], ""Thu"": [[""9:00"", ""22:00""]], ""Fri"": [[""9:00"", ""22:00""]], ""Sat"": [[""9:00"", ""22:00""]], ""Sun"": [[""9:00"", ""20:00""]] }",
sg:4aa4ad2e68f64883b4d314b39fd6da68,,Elwin & Co,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.499247,-83.184081,2971 Coolidge Hwy,Berkley,MI,48072,US,+12485478846,"{ ""Mon"": [[""7:30"", ""15:00""]], ""Tue"": [[""7:30"", ""15:00""]], ""Wed"": [[""7:30"", ""15:00""]], ""Thu"": [[""7:30"", ""15:00""]], ""Fri"": [[""7:30"", ""15:00""]], ""Sat"": [[""8:30"", ""14:00""]], ""Sun"": [] }",
sg:67ea0e87154240d5a6a3bec2e3896484,,The Cookie Jar,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.994418,-83.677165,3207 S Saginaw St,Flint,MI,48503,US,+18109361107,"{ ""Mon"": [[""12:00"", ""18:00""]], ""Tue"": [[""12:00"", ""18:00""]], ""Wed"": [[""12:00"", ""18:00""]], ""Thu"": [[""12:00"", ""18:00""]], ""Fri"": [[""12:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }",
sg:77cf7c4dc8914f56b3a056c049345670,,Sugar Me Sweet,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,45.027587,-84.674167,102 W Main St,Gaylord,MI,49735,US,,,
sg:6a9f02e4b0b5449c875b56f18f9a5ea7,,Waterloo Farm Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.379557,-84.179766,13493 Waterloo Munith Rd,Grass Lake,MI,49240,US,+15175962254,,
sg:9a3c743d2af44d789613fe826c02d1ff,,Dearborn Sweets,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.337561,-83.19556,6456 Greenfield Rd,Dearborn,MI,48126,US,+13135815959,"{ ""Mon"": [[""8:00"", ""22:00""]], ""Tue"": [[""8:00"", ""22:00""]], ""Wed"": [[""8:00"", ""22:00""]], ""Thu"": [[""8:00"", ""22:00""]], ""Fri"": [[""8:00"", ""23:00""]], ""Sat"": [[""8:00"", ""23:00""]], ""Sun"": [[""8:00"", ""22:00""]] }",
sg:adbe3d4c6e3f4bcea5f87496edafd520,,Chimoski Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,44.981415,-85.645854,720 N Saint Joseph St # M22,Suttons Bay,MI,49682,US,+12312712207,"{ ""Mon"": [[""6:00"", ""15:00""]], ""Tue"": [[""6:00"", ""15:00""]], ""Wed"": [[""6:00"", ""15:00""]], ""Thu"": [[""6:00"", ""15:00""]], ""Fri"": [[""6:00"", ""15:00""]], ""Sat"": [[""7:00"", ""14:00""]], ""Sun"": [[""7:30"", ""12:00""]] }",
sg:9d860bab419b4535bd640cc16967f78d,,VanBrocklin's Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.711844,-85.487053,1129 N State St,Big Rapids,MI,49307,US,+12317965440,,
sg:d12b3e23e70c4c68968730b08c876e33,,The Bakery Waterford,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.686722,-83.380765,4698 Dixie Hwy,Waterford,MI,48329,US,+12482592551,"{ ""Mon"": [], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""15:00""]], ""Sun"": [] }",
sg:c1c30b6096664b13a3a5dc2dca72d7e5,,Cateraid,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.584774,-83.879389,1167 Fendt Dr,Howell,MI,48843,US,+15175468217,,
sg:aad1a5065cdf4ed891933f4dc8a38ebf,sg:0abeb9fbd4cc4d719769388e455f0a3e,Bay City 10 GDX,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,43.628018,-83.891599,4101 Wilder Rd Ste R703,Bay City,MI,48706,US,+19896863456,"{ ""Mon"": [[""10:45"", ""24:00""]], ""Tue"": [[""10:45"", ""24:00""]], ""Wed"": [[""10:45"", ""24:00""]], ""Thu"": [[""10:45"", ""24:00""]], ""Fri"": [[""9:45"", ""24:00""]], ""Sat"": [[""0:00"", ""2:00""], [""9:45"", ""24:00""]], ""Sun"": [[""0:00"", ""2:00""], [""9:45"", ""24:00""]] }",
sg:0f2515b12d2f4cd4a70c32458474182d,,Orbit Room,,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),512131,42.917044,-85.58052,2525 Lake Eastbrook Blvd SE,Grand Rapids,MI,49546,US,+16169421328,,
sg:10a8cfd087fa40e1a4ed392cb0754ecc,,Keller's Farm Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.129002,-83.446142,23888 Haggerty Rd,Belleville,MI,48111,US,+17347534360,,
sg:f72b1b1cbb984eff9baf914266b95f10,,Country View Bakery,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,43.956724,-86.422295,5722 W US Highway 10,Ludington,MI,49431,US,+12314256791,"{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [[""9:00"", ""18:00""]], ""Sun"": [] }",
sg:19ab62e5893341a0b428c58959834a75,,Ixl Historical Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,45.709139,-87.607917,5551 River Street North,Hermansville,MI,49847,US,+19064982181,,
sg:24e4e019f7a84cf4ae449f541a4a4af0,,King Arthur's Pasties,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.944821,-83.662579,2259 E Hill Rd,Grand Blanc,MI,48439,US,+18106956502,,
sg:757eec991f9444d79ff6a8bb6760b45f,sg:fe84b800a71a402ba0e719d8dc52c6da,Bookbound,,,Book Stores and News Dealers,Book Stores,451211,42.298811,-83.721431,1729 Plymouth Rd,Ann Arbor,MI,48105,US,+17343694345,"{ ""Mon"": [], ""Tue"": [[""11:00"", ""20:00""]], ""Wed"": [[""11:00"", ""20:00""]], ""Thu"": [[""11:00"", ""20:00""]], ""Fri"": [[""11:00"", ""21:00""]], ""Sat"": [[""11:00"", ""21:00""]], ""Sun"": [[""11:00"", ""20:00""]] }",
sg:aafa2f5be57745a58f5fea819f477b78,,Think Street Media,,,Book Stores and News Dealers,Book Stores,451211,43.032121,-83.517077,311 N Main St,Davison,MI,48423,US,+18106528800,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [], ""Sat"": [], ""Sun"": [] }",
sg:d35c7627950447d78c463ca27b40fdfb,,Kingman Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.336897,-85.210904,175 Limit St,Battle Creek,MI,49037,US,+12699655117,,
sg:073791b5b7944f5f968299edb6c0fed0,,Perfection Bakeries,,,Bakeries and Tortilla Manufacturing,Retail Bakeries,311811,42.386785,-83.495017,45789 Port St,Plymouth,MI,48170,US,+17343549520,,
sg:1413a92976da4a52bd022812b416f980,,Darden Murphy African American Cowboy Historical Museum,,,"Museums, Historical Sites, and Similar Institutions",Museums,712110,42.306077,-85.592341,628 Lulu St�,Kalamazoo,MI,49048,US,+12693820245,,
